제목,링크
'이거'에 해당되면 고양이 입양하지 마세요ㅣ집사메이커 lv.1,https://www.youtube.com/watch?v=GBBz9IlSrQk&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=1&pp=iAQB
이걸 모르고 고양이를 입양하면 후회합니다ㅣ집사메이커 lv.2,https://www.youtube.com/watch?v=fKjI9tsa8xc&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=2&pp=iAQB
고양이 수의사가 말하는 집사 필수템 & 꿀팁ㅣ집사메이커 lv.3,https://www.youtube.com/watch?v=XC059alyEwY&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=3&pp=iAQB
3분만 보세요! 기적처럼 완벽한 고양이 집사가 됩니다ㅣ집사메이커 lv.4,https://www.youtube.com/watch?v=3KYVMmwe-z4&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=4&pp=iAQB
고양이 입양 직후 가장 많이 하는 실수는?ㅣ집사메이커 lv.5,https://www.youtube.com/watch?v=TqQDriLJSWY&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=5&pp=iAQB
"수의사가 알려주는, 1초만에 고양이 기분 파악하는 법",https://www.youtube.com/watch?v=4bJlFhL3zRI&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=6&pp=iAQB
"고양이 입양 전, 반드시 알아야 할 것 총정리",https://www.youtube.com/watch?v=mm5yvw6Thew&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=7&pp=iAQB
고양이 발톱은 절대로 “이렇게” 자르시면 안됩니다,https://www.youtube.com/watch?v=dD8B9kPWy10&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=8&pp=iAQB
천사냥이도 악마냥이로 변신 가능? 수의사가 알려주는 예방법!,https://www.youtube.com/watch?v=JIoxeDoe_og&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=9&pp=iAQB
"고양이 예방접종, 인터넷 믿지 마세요",https://www.youtube.com/watch?v=dNVaIUeyqWM&list=PLhLLGKcG94RMusAXN3adTaFj2PVYKxUk3&index=10&pp=iAQB
