제목,링크
sub) 고양이가 집사를 사랑한다고 말하는 애정표현 9가지💕,https://www.youtube.com/watch?v=vW0DyBraVxs&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=1&pp=iAQB
고양이 집사들이 나도 모르게 하고 있는 실수 12가지!!,https://www.youtube.com/watch?v=rI3f8uh4iak&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=2&pp=iAQB
고양이가 죽기 전에 보이는 의외의 8가지 행동,https://www.youtube.com/watch?v=kuoM0BUiM_M&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=3&pp=iAQB
sub) 고양이 혼자 두고 집사는 몇박 며칠까지 외박 가능할까?🏡,https://www.youtube.com/watch?v=SCy6EsfT_qE&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=4&pp=iAQB
고양이가 온몸으로 표현하는 '나 아파요'의 신호😿,https://www.youtube.com/watch?v=Ytk-jS_Cg6k&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=5&pp=iAQB
기분좋은거...맞지??? 이해하기 힘든 고양이의 신기한 표정 5가지!,https://www.youtube.com/watch?v=Hdc44_ew4Lo&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=6&pp=iAQB
멀쩡하던 고양이가 갑자기! 김명철 수의사가 겪은 고양이 급사의 순간들..,https://www.youtube.com/watch?v=Os1NR_RolsU&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=7&pp=iAQB
레이디의 숨겨왔던 비밀을 짜버리다💩고양이 항문낭의 모든것...🤎,https://www.youtube.com/watch?v=Kn1yA1TFFg8&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=8&pp=iAQB
더운 여름🥵 고양이 집사가 모르면 안 되는 내용 총 정리,https://www.youtube.com/watch?v=F0M8ATOj3wI&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=9&pp=iAQB
고양이가 화장실 앞에서 우는 진짜 이유 (feat. 수의사),https://www.youtube.com/watch?v=kGWI5uRe4N4&list=PLhLLGKcG94RMTaxlgxm7Vgr76ca3Zv5M0&index=10&pp=iAQB
