제목,링크
고양이가 혼자 있을때 불안하면 보이는 행동들,https://www.youtube.com/watch?v=pnVgACXHljc&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=1&pp=iAQB
고양이는 과연 뒤끝이 있을까? 없을까?,https://www.youtube.com/watch?v=OUDr686d7r8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=2&pp=iAQB
고양이가 각양각색으로 사료를 먹는 이유,https://www.youtube.com/watch?v=bj5RAmRq1VM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=3&pp=iAQB
고양이가 화장실 모래를 덮지 않는 이유,https://www.youtube.com/watch?v=tgsNNhWp4Qs&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=4&pp=iAQB
2000마리의 고양이 성격을 분석해봤습니다,https://www.youtube.com/watch?v=S4vh1URTavU&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=5&pp=iAQB
보호자가 모르는 고양이가 스트레스를 받는 상황들,https://www.youtube.com/watch?v=bsZVv-ZZABM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=6&pp=iAQB
고양이는 왜 이렇게 빨리 클까?,https://www.youtube.com/watch?v=L6SgWU2IDDM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=7&pp=iAQB
고양이는 왜 이렇게 나한테 비빌까?,https://www.youtube.com/watch?v=d8bsZV8lRrM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=8&pp=iAQB
고양이는 왜 사료를 남길까?,https://www.youtube.com/watch?v=bij6ECI5UmQ&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=9&pp=iAQB
고양이가 한숨을 쉬는 진짜 이유 feat. 교육 꿀팁,https://www.youtube.com/watch?v=bXgBfW4h1pk&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=10&pp=iAQB
테슬라 로고는 고양이 코에서 나왔다? feat.고양이 코의 신비,https://www.youtube.com/watch?v=JHY_k3Vkwho&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=11&pp=iAQB
와 !! 고양이는 이것도 스트레스 받는다고!?,https://www.youtube.com/watch?v=f5AXwczq_zE&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=12&pp=iAQB
고양이는 어떤 색의 옷을 입으면 좋아할까 ?,https://www.youtube.com/watch?v=CN8MY8aQ5H0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=13&pp=iAQB
고양이가 사료를 흘리면서 먹는 진짜 이유,https://www.youtube.com/watch?v=hVp_PKqQ9B4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=14&pp=iAQB
고양이 소변 냄새가 강아지보다 심한 이유 feat. 과학적 근거,https://www.youtube.com/watch?v=CLBpPAnyCnc&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=15&pp=iAQB
고양이가 기분전환이 필요할때 하는 행동  feat. 냥신은 쇼핑,https://www.youtube.com/watch?v=8q02SAmvfP8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=16&pp=iAQB
고양이는 몇살 아이처럼 느끼고 표현할까? feat. 질투 솔루션,https://www.youtube.com/watch?v=XKt6nwYTVt0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=17&pp=iAQB
가성비 최고 고양이 숨숨집 feat. 소쿠리 교육법,https://www.youtube.com/watch?v=wq2cvuqbXQ4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=18&pp=iAQB
고양이가 밥 잘 먹게 하는 TIP feat.밥상머리 교육,https://www.youtube.com/watch?v=ABdwZh0yFHM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=19&pp=iAQB
고양이 하품의 여러 의미,https://www.youtube.com/watch?v=fjNscH2Ne0w&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=20&pp=iAQB
고양이는 집사를 어떻게 위로해줄까?,https://www.youtube.com/watch?v=5ALMc5Li1zQ&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=21&pp=iAQB
고양이가 나를 조종한다고 느낄때  !? feat.냥스라이팅,https://www.youtube.com/watch?v=hBTS6xrkPAk&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=22&pp=iAQB
"도대체 고양이에게 안심하고 쓸수 있는 향은? feat.룸스프레이,인센스,방향제,디퓨져 등등",https://www.youtube.com/watch?v=DSCLbhZDkGg&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=23&pp=iAQB
왜 고양이는 나를 쳐다보고 있을까?,https://www.youtube.com/watch?v=y9azh2K0K0E&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=24&pp=iAQB
고양이는 대체 왜? 두발로 서는 걸까?,https://www.youtube.com/watch?v=ZzOkLsjpwq8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=25&pp=iAQB
고양이가 개보다 유독 까칠한 이유,https://www.youtube.com/watch?v=w8E3z_DsyAs&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=26&pp=iAQB
고양이는 왕따를 시킬까? feat.집사 왕따설,https://www.youtube.com/watch?v=XQsG3AvVKQ0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=27&pp=iAQB
고양이 화장실 오해와 진실 ?! feat. 이벤트 참여하세요,https://www.youtube.com/watch?v=POQ6E2otsXk&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=28&pp=iAQB
"숨숨집, 캣타워 안쓰는 고양이들 다 이유가 있었구나 feat. 공간 성향 분석",https://www.youtube.com/watch?v=yfTA6MQCkSY&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=29&pp=iAQB
고양이 지능은 집사보다 월등할까? feat. 실제 지능,https://www.youtube.com/watch?v=3jGvH_b38Eg&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=30&pp=iAQB
고양이가 이렇게 교배 상대를 결정한다고 ? feat. 짝짓기의 비밀,https://www.youtube.com/watch?v=ga6DpUOkGfc&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=31&pp=iAQB
고양이는 왜 눈 앞의 간식을 못 먹을까? feat. 수염의 비밀,https://www.youtube.com/watch?v=OfUPtj4ufys&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=32&pp=iAQB
고양이는 왜!? 물건을 떨어뜨릴까? feat.복수?,https://www.youtube.com/watch?v=TRO0srZU7_4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=33&pp=iAQB
고양이는 왜 비닐을 좋아할까? feat. 과학적 이유가 있었네?,https://www.youtube.com/watch?v=XX7utSnuzYw&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=34&pp=iAQB
고양이가 왜 자꾸 나를 핥을까?  feat.육식파,https://www.youtube.com/watch?v=C2EfoW3d3sc&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=35&pp=iAQB
고양이가 왜 물을 발로 찍어 먹을까? feat. 부먹 & 찍먹,https://www.youtube.com/watch?v=kry1gV1psnc&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=36&pp=iAQB
고양이를 보고 겨울이 오는 걸 아는 법,https://www.youtube.com/watch?v=IxWpZRLZNj8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=37&pp=iAQB
갑자기 고양이가 보호자와 동거묘를 몰라보는 이유 feat. 고양이 자기 이름 적는 법,https://www.youtube.com/watch?v=eFhpC7SmlGE&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=38&pp=iAQB
고양이는 왜 창가를 좋아할까? feat. 일광욕의 비밀,https://www.youtube.com/watch?v=-YjXDTNCf_c&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=39&pp=iAQB
고양이 불안정한 애착관계 교정하는 법 | [실전 영상 있음] 보호자 불안정 애착관계 솔루션 아님🤪,https://www.youtube.com/watch?v=P2NYrrb-xAE&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=40&pp=iAQB
냐옹신이 알려주는 고양이와 나와의 애착관계 확인법! [교육 영상 있음],https://www.youtube.com/watch?v=pb7KNi3gdvI&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=41&pp=iAQB
아직도 내가 고양이보다 서열이 낮다고 생각하시는분들? feat 고양이사이 서열 정리,https://www.youtube.com/watch?v=hbhV8MBaJUA&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=42&pp=iAQB
대체 왜? 고양이는 똥스키를 탈까 !!,https://www.youtube.com/watch?v=QVU7on6BFQ4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=43&pp=iAQB
과연 고양이는 꿈을 꿀까? feat 불면증은?,https://www.youtube.com/watch?v=BiEE1Oa1x-I&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=44&pp=iAQB
고양이 교육은 언제부터 해야할까?,https://www.youtube.com/watch?v=a--Deb-8ie8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=45&pp=iAQB
눈을 가리고 자는 고양이의 비밀,https://www.youtube.com/watch?v=5tT4pb0P1rY&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=46&pp=iAQB
고양이가 놀이에 흥미가 없는 이유 !!,https://www.youtube.com/watch?v=NNB5JrCLKO8&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=47&pp=iAQB
고양이에게 최고의 보호자가 되는법 ?,https://www.youtube.com/watch?v=hx2NcE3z2Lw&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=48&pp=iAQB
고양이 사료 모양의 비밀 ? feat 스텔라앤츄이스 이벤트,https://www.youtube.com/watch?v=UjWKITeusQM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=49&pp=iAQB
도대체 고양이는 무슨맛으로 먹을까?,https://www.youtube.com/watch?v=iO4sHa7M0oI&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=50&pp=iAQB
고양이는 나를 어떻게 생각할까? 엄마? 새끼? 하인?,https://www.youtube.com/watch?v=n4jaPbAz4ps&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=51&pp=iAQB
고양이는 왜 이렇게 궁디팡팡을 좋아할까? feat.아미,https://www.youtube.com/watch?v=RhUfQTOyEYk&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=52&pp=iAQB
고양이를 처음 만나면 왜 코로 인사를 할까?,https://www.youtube.com/watch?v=dj1YYCS_QLs&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=53&pp=iAQB
고양이는 왜 침대를 벗어나지 않을까?,https://www.youtube.com/watch?v=ML0zdUSHcD0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=54&pp=iAQB
고양이가 내는 신기한 울음소리 feat. 거대고양이 울음소리,https://www.youtube.com/watch?v=JgawM6Iyu44&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=55&pp=iAQB
고양이에게 미안한 마음이 든다면 ? feat.올바른 사과,https://www.youtube.com/watch?v=mTkpYoytt7E&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=56&pp=iAQB
고양이는 왜 화장실 앞에서 기다릴까?,https://www.youtube.com/watch?v=QJVpSugL8jI&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=57&pp=iAQB
세상에서 가장 빠른 고양이 feat.우사인 볼트,https://www.youtube.com/watch?v=XynVUtjQGjA&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=58&pp=iAQB
고양이 우다다 고치는 법은 없을까? feat.벅,https://www.youtube.com/watch?v=ZhTUoyOSpl0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=59&pp=iAQB
고양이가 택배박스와 비닐에 집착하는 이유 feat.냥신은 평양냉면,https://www.youtube.com/watch?v=OqDn-BaqZN4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=60&pp=iAQB
"과연 우리 고양이는 어떤발을 주로 쓸까?(feat.오른손,왼손잡이 확인법)",https://www.youtube.com/watch?v=zJM1m075Zsw&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=61&pp=iAQB
고양이 액체설을 입증하는 고양이의 신비로운 신체능력을 알아보자.,https://www.youtube.com/watch?v=Nb_b-STPNDo&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=62&pp=iAQB
앉은 자세만으로 고양이의 감정을 알 수 있다!?,https://www.youtube.com/watch?v=iK9gfrdTuvs&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=63&pp=iAQB
"고양이 능력이 뛰어난줄 알았는데, 이것까지 ? feat.임신을 안다고?",https://www.youtube.com/watch?v=GYG7NFSCtK4&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=64&pp=iAQB
고양이가 의외로 싫어하는 냄새를 알아보자 !! feat.여러분들이 싫어하는 냄새는 ?,https://www.youtube.com/watch?v=fkASIw-kJR0&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=65&pp=iAQB
고양이도 불면증이 있나요? feat. 잠못자는 집사들,https://www.youtube.com/watch?v=LCvi9zF5FYg&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=66&pp=iAQB
고양이와 눈물의 비밀 !?,https://www.youtube.com/watch?v=bcmzrIol0UM&list=PL2PEbeRP1kQgwsgLCYnSZglQCzUy4156E&index=67&pp=iAQB
