제목,링크
먹을 걸 물고 다니는데 한 곳에서 먹게 할 수 없나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=8s3ybEgTpQY&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=1&pp=iAQB
전화벨이 울리면 짖는데 전화 온 걸 알려주는 건가요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=MMD5LdjrLcg&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=2&pp=iAQB
닫힌 문틈 사이로 킁킁대는데 이유가 있나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=yTgRSMT_njA&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=3&pp=iAQB
명절에 이동할 때 강아지도 데려가는 게 좋나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=43todNAPysg&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=4&pp=iAQB
강아지도 명절 증후군이 있나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=GTAo2ftClOc&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=5&pp=iAQB
"몸에 올라와 자는 강아지, 이유가 있나요?｜강형욱의 소소한 Q&A",https://www.youtube.com/watch?v=iJ01pZaRBzo&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=6&pp=iAQB
"사람이 밥 먹을 때 똥 싸는 개｜응가 후 마구 짖는 강아지, 치우라는 건가요?｜강형욱의 소소한 Q&A",https://www.youtube.com/watch?v=kOen0OKhXpM&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=7&pp=iAQB
"강아지 공포증, 너무 무서워요...｜강형욱의 소소한 Q&A",https://www.youtube.com/watch?v=73wYkPnvcnI&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=8&pp=iAQB
강조되고 반복되는 소리는 강아지를 불안하게 하나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=Xdo-bBmmksE&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=9&pp=iAQB
"너무 안 짖는 강아지, 문제가 있는 건가요?｜강형욱의 소소한 Q&A",https://www.youtube.com/watch?v=pEGoghmDbJs&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=10&pp=iAQB
강아지가 머리맡에서 자는데 이유가 있나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=8c8fbb8t298&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=11&pp=iAQB
"산책 중 갑자기 멈춰 서는 강아지, 이유가 있나요?｜강형욱의 소소한 Q&A",https://www.youtube.com/watch?v=MMcuXAhhu-U&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=12&pp=iAQB
강아지도 비웃나요? ｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=khMHnH_g5pM&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=13&pp=iAQB
강아지가 발 밑에서 자는데 이유가 있나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=GKYtC1h1UBk&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=14&pp=iAQB
만져주다 멈추면 툭툭 치는데 더 해달라는 건가요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=25_Uo7-XUlo&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=15&pp=iAQB
응가를 한 뒤 마구 달리는데 기분이 좋아서 그러나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=HIDSfr7tbYc&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=16&pp=iAQB
강아지가 무서워하는 냄새가 있나요?｜강형욱의 소소한 Q&A,https://www.youtube.com/watch?v=SeUxfBxT4NA&list=PLVh3TM0B0Wtl4KWJyTNhVG1snnJQT7qfI&index=17&pp=iAQB
