제목,링크
Vlog l 강아지도 헌혈을 할 수 있다? 우리 집 강아지 헌혈 한 번이 네마리를 살릴 수 있어요! 💉 l 아임도그너 l 설채현 수의사,https://www.youtube.com/watch?v=QzlDJpt1rf0&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=1&pp=iAQB
Vlog l 세상이 강아지 수영교육 받고 왔어요 🐶 🏊🏻‍♂️ ! l 설채현 행동학 수의사,https://www.youtube.com/watch?v=nLv9ln-x5Os&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=2&pp=iAQB
vlog | 세상이 출근 브이로그 🐶 🎉  | 세상무님과 설쌤의 목욕 꿀팁 공개! (목욕 초보 필수 시청 🛁 ) | 설채현 행동학 수의사,https://www.youtube.com/watch?v=32R_-BJZM4E&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=3&pp=iAQB
vlog | 세상이와 함께한 사진 촬영! 🐶 | 설채현 행동학 수의사,https://www.youtube.com/watch?v=z6lFhG-gWcw&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=4&pp=iAQB
Vlog l 세상이와 함께한 서울 국제 환경영화제 🌿  자연도 즐기고 영화도 보고 왔어요! 🍿 l 설채현 행동학 수의사,https://www.youtube.com/watch?v=LQxTB01PBTg&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=5&pp=iAQB
구독자분들과 카라 더봄센터로 봉사활동 다녀왔어요! | 설채현 행동학 수의사,https://www.youtube.com/watch?v=htQMaBTaEZ0&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=6&pp=iAQB
"설쌤이 입양한 유기견 윙크, 어떻게 지내고 있을까요? 🐶 l 설채현 행동학 수의사",https://www.youtube.com/watch?v=hZptL1tiSiQ&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=7&pp=iAQB
강아지 간식을 크리스마스 선물로 줘봤습니다. 🎅🏻 l 설채현 행동학 수의사,https://www.youtube.com/watch?v=GKLgBHhIlf0&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=8&pp=iAQB
"반려견 수영, 세상이의 깊은 물 정복기 Vlog  🏊🏻‍♂️ l 수영 Vlog 2탄 l 설채현 행동학 수의사",https://www.youtube.com/watch?v=Bpg6kBgTb1k&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=9&pp=iAQB
폭염에도 산책 가보자고 🔥 폭염에 산책시 꿀팁까지 대방출! l 세상이 Vlog l 설채현 행동학 수의사,https://www.youtube.com/watch?v=Zzl0xtEOU1A&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=10&pp=iAQB
수의사는 진료만 하는 거 아니냐고? 바쁘다 바빠 수의사 하루 Vlog 🔥 l 설채현 행동학 수의사,https://www.youtube.com/watch?v=7WXJ84McUuY&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=11&pp=iAQB
설쌤이 입양한 윙크 근황! 윙크 심장 수술했어요🥲 | 설채현 행동학 수의사,https://www.youtube.com/watch?v=BjdL2vHZSDc&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=12&pp=iAQB
설쌤's 강아지 구강 관리 루틴 대공개 🪥 l 세상이 Vlog l 설채현 행동학 수의사,https://www.youtube.com/watch?v=RSA5_n8Nf0o&list=PLfLVnVofgzHLX-d-fGhqQEsOsklIXlXzw&index=13&pp=iAQB
