제목,링크
"더 행복한 반려생활, 이 앱만 설치하면 됩니다. 📲 l 놀로 앱 소개 l 설채현 행동학 수의사",https://www.youtube.com/watch?v=sh74Z0EPdHU&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=1&pp=iAQB
강아지 유산균으로 입냄새도 없앨 수 있다고요? 🤭 l 강아지 입냄새 없애는 법 l 설채현 행동학 수의사,https://www.youtube.com/watch?v=ZHpM_Scrpxk&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=2&pp=iAQB
"펫밀크, 이 사실 알고 급여하고 계시나요? 🥛 l 강아지 우유 선택법 l 설채현 행동학 수의사",https://www.youtube.com/watch?v=pdeMGKLAUkM&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=3&pp=iAQB
"겨울산책, 강아지 옷 입힐까 말까?!|설채현 수의학",https://www.youtube.com/watch?v=Mq_WN5BRWWk&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=4&pp=iAQB
"[강아지 중성화의 모든 것 1부] 강아지 장수의 비결, 놀랍게도 중성화?!",https://www.youtube.com/watch?v=UyjcuBZIv68&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=5&pp=iAQB
"슬개골탈구 예방법, 산책법부터 영양제추천!!! 슬개골탈구 2부|설채현 수의학",https://www.youtube.com/watch?v=93xZNcmwdOg&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=6&pp=iAQB
반려견 목에 이물질 걸렸을 때 응급처치?!_내 강아지 살리는 하임리히법,https://www.youtube.com/watch?v=92EByzD_Dt4&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=7&pp=iAQB
"진드기에 물린 개,  '이것' 안해주면 죽어요|설채현 수의학#심장사상충",https://www.youtube.com/watch?v=7t6sA9edH2Q&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=8&pp=iAQB
"강아지의 ""나 아파"" ! 알 수 있는 방법이 있다고요? 🤕 | 반려견 건강적신호 15가지 | 설채현 행동학 수의사",https://www.youtube.com/watch?v=ADoEADVaK3k&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=9&pp=iAQB
항문낭 완전정복!(주기/짜는방법/항문낭염/소형견 대형견 항문낭관리),https://www.youtube.com/watch?v=4AaT3UeEWgA&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=10&pp=iAQB
"반려견 목욕에 관한 궁금증,  못다한 이야기 (세안법, 산책후 목욕, 발닦기,  드라이룸, 말리는 법)",https://www.youtube.com/watch?v=_p-a3gnB0VI&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=11&pp=iAQB
반려견 필수예방접종 총정리! 꼭 알아야 겠쥬?!,https://www.youtube.com/watch?v=N0oXWToh5-A&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=12&pp=iAQB
"산책 후 진드기, 어디에 가장 잘 붙는지 알고 계신가요?🤓 확인하는 방법 제대로 알려드립니다! 🏥 | 진드기 예방법 | 설채현 행동학 수의사",https://www.youtube.com/watch?v=ZUL6WRPY3es&list=PLfLVnVofgzHKAkaEjwqsLtBFeohxkcsK9&index=13&pp=iAQB
