제목,링크
"세나개 '산불 그후, 남겨진 개 이야기' 방송 후 못 다한 진짜 이야기",https://www.youtube.com/watch?v=l8yiYeX4j0o&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=1&pp=iAQB
TXT 'Cat&Dog' 투모로우바이투게더 캣앤독 세나개 설채현 리뷰_tomorrow x together 'Cat & Dog' MV review,https://www.youtube.com/watch?v=TXABcgsLNFs&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=2&pp=iAQB
"설채현독설티비, 구독자 1만명 돌파 자축파뤼!",https://www.youtube.com/watch?v=lvqqr5U5RRM&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=3&pp=iAQB
BTS JIN(진)이 세나개 설채현 울렸다!?|사심리뷰,https://www.youtube.com/watch?v=9BMNcFYuakA&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=4&pp=iAQB
설채현의 반려견 장난감 DIY 1_통 안에 파스타,https://www.youtube.com/watch?v=uXgs_UJ9sl4&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=5&pp=iAQB
설채현의 반려견 장난감 DIY 2_김밥장난감_세상이 최애 놀이,https://www.youtube.com/watch?v=KJzsBrSGSms&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=6&pp=iAQB
반려견🐶입양 어디서할까? 설쌤이 픽한 이곳?!!,https://www.youtube.com/watch?v=f_3PDTjoFKk&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=7&pp=iAQB
"설채현, 🐶입양했다는데? 어디서? 이곳에서?_입양은 여기서! 2탄!",https://www.youtube.com/watch?v=5Gppo7bIYrU&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=8&pp=iAQB
애니멀호더 구조견 19마리의 🐶생역전 #사지말고 입양하세요!,https://www.youtube.com/watch?v=FHRT-wCYgfU&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=9&pp=iAQB
설채현의 월간입양 4월 | 슈퍼스타 '할리' 입양하실라예?(☆입양완료☆),https://www.youtube.com/watch?v=IUR3uFPRiWk&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=10&pp=iAQB
군산 보호소에서 가장 오래된 개 _설채현의 월간입양 3월 '토리',https://www.youtube.com/watch?v=TRBwW9BE5gA&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=11&pp=iAQB
"설채현의 월간입양 5월,  애교짱 2살 쿠엔크입니다(☆입양완료☆)",https://www.youtube.com/watch?v=NvqMNEpKaGE&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=12&pp=iAQB
"설채현의 월간입양 6월, 똑똑한 포포를 소개합니다(☆입양완료☆)",https://www.youtube.com/watch?v=zC2hYZLysZ4&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=13&pp=iAQB
설채현의 월간입양 7월 톰스토리!(☆입양완료☆),https://www.youtube.com/watch?v=4DX9-9NftSY&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=14&pp=iAQB
"월간입양 5, 6월 친구들이 입양됐어요 짝짝짝!!!! (쿠엔크, 포포)",https://www.youtube.com/watch?v=Yk-WojwtV_o&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=15&pp=iAQB
빈 공장에 버려져 누더기로 발견된 개ㅣ월간입양 10월(☆입양완료☆),https://www.youtube.com/watch?v=GP4GZyAJWoA&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=16&pp=iAQB
산에 쓰레기처럼 버려진 '개' (설채현의 월간입양 12월 주인공 '첵스')☆입양완료☆,https://www.youtube.com/watch?v=cqco0BRRoVw&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=17&pp=iAQB
9마리 새끼들과 발견된 어미개 '온새' _설채현의 월간입양 1월,https://www.youtube.com/watch?v=74-fk0RJuRw&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=18&pp=iAQB
강아지 버린 이유가...어이가 없네_월간입양 2월 소중이,https://www.youtube.com/watch?v=kBKw8_xOZaA&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=19&pp=iAQB
"한 겨울, 양파망에 버리다니요...나쁜 XX !!!  [월간입양 4월]",https://www.youtube.com/watch?v=nAIrcyKR96w&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=20&pp=iAQB
한겨울 버려져 죽다 살아난 🐶 '누리'_월간입양,https://www.youtube.com/watch?v=Meu45wald_E&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=21&pp=iAQB
"반려견, 동물등록 내장형 칩 1만원!? |이슈리뷰",https://www.youtube.com/watch?v=V7iVjmytMus&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=22&pp=iAQB
"코로나19 반려견 감염, 진실은!?_설채현의 독설뉴스",https://www.youtube.com/watch?v=uTixZqRR760&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=23&pp=iAQB
"긴급! 강아지 코로나19 감염주의보가 떴다는데, 어떻게 된 걸까!?",https://www.youtube.com/watch?v=D-S6GNY7yug&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=24&pp=iAQB
설채현 화났다!! 설쌤을 욕하게 만든 문자내용?!,https://www.youtube.com/watch?v=LxJNz6Apyqo&list=PLfLVnVofgzHLqPSDblwylv7MJeMn921Xx&index=25&pp=iAQB
