제목,링크
sub) [v-log] 수의사 집사의 하루,https://www.youtube.com/watch?v=F2Yz2ue1zvk&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=1&pp=iAQB
찐집사 김명철 수의사가 추천하는 내돈내산 고양이 꿀템 베스트3,https://www.youtube.com/watch?v=UmjAFNqr7oU&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=2&pp=iAQB
sub) 고양이 집사 삶의 질 상승 5가지 꿀템,https://www.youtube.com/watch?v=1PX7ZBdN95Q&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=3&pp=iAQB
[v-log] 수의사 집사는 고양이랑 집에서 하루종일 뭘 할까?🏡🐈,https://www.youtube.com/watch?v=t9pXaiUqUoM&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=4&pp=iAQB
sub) 이 세상 귀여움이 아닌 고양이 애기씨를 소개합니다,https://www.youtube.com/watch?v=I3oRmu4iC98&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=5&pp=iAQB
"sub) 부모님이 교사여도 사고치는 애, 그게 우리집이에요😫고양이 건강검진 다녀온 날🏥",https://www.youtube.com/watch?v=QaxxKRlGvmU&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=6&pp=iAQB
sub) 😼이리오너라~고양이와 함께 사는 수의사네 집 룸투어,https://www.youtube.com/watch?v=yEySNnjekHc&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=7&pp=iAQB
"김명철수의사네 고양이, 건강검진 다녀왔어요🏥 동물병원 v-log",https://www.youtube.com/watch?v=5xR_ukfaNgY&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=8&pp=iAQB
sub) [v-log] 수의사네 고양이랑 이사하는 날😼🚛,https://www.youtube.com/watch?v=m0yFhVdNXsE&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=9&pp=iAQB
[v-log] 휴일이 더 바쁜거 같은 수의사 집사의 하루🌧,https://www.youtube.com/watch?v=E2TnU97ouP8&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=10&pp=iAQB
먀옹철이 부릅니다 - Kill This 발톱,https://www.youtube.com/watch?v=hz79VeO82nQ&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=11&pp=iAQB
sub) 의도치 않은 또 한번의 v-log 이번엔 자가격리를 곁들인…,https://www.youtube.com/watch?v=jzPqM6GBy70&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=12&pp=iAQB
고양이 전문 수의사도 합사는 어려워(고양이/수의사/합사/사모님/애기씨),https://www.youtube.com/watch?v=rkaxNfMwVKo&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=13&pp=iAQB
고양이에게 랍스터를 주면 생기는 일,https://www.youtube.com/watch?v=Rc4He4qDWYs&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=14&pp=iAQB
삼시육끼 고양이편 (부제: 수의사네 고양이들은 뭘 먹을까?),https://www.youtube.com/watch?v=pZ7HuohM4ec&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=15&pp=iAQB
오해마세요. 건강검진 받았습니다.,https://www.youtube.com/watch?v=4o3Qwse0ohs&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=16&pp=iAQB
합사해버렸습니다 과연 사모님 애기씨의 반응은?,https://www.youtube.com/watch?v=EPSLovZu1qw&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=17&pp=iAQB
sub) 집사랑 대화하는 k-고양이,https://www.youtube.com/watch?v=SipTSD25MqE&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=18&pp=iAQB
수의사가 쓰는 고양이 용품은 뭘까?,https://www.youtube.com/watch?v=kb_uUlVDdf4&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=19&pp=iAQB
구독자 57만 펫시터 고용했습니다,https://www.youtube.com/watch?v=_YxY-iyMEpo&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=20&pp=iAQB
고양이 전문 수의사가 직접 구매하고 조립해 본 캣폴,https://www.youtube.com/watch?v=rAM3nepACvo&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=21&pp=iAQB
이렇게 적나라해도 될까..❓ 동물병원 진료실 뒷편에서 벌어지는 전과정 최초 공개합니다,https://www.youtube.com/watch?v=NCkpqPSRzfQ&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=22&pp=iAQB
애기씨 이거 왜먹어? 😭,https://www.youtube.com/watch?v=ynYMFa9lDf4&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=23&pp=iAQB
고양이 전문 수의사도 합사는 어려워 두 번째 이야기,https://www.youtube.com/watch?v=LmIzkLUgCGI&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=24&pp=iAQB
5일간 집을 비운 집사들을 고양이는 기억할까?,https://www.youtube.com/watch?v=UTZwvSPXTLw&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=25&pp=iAQB
[미공개영상] 길고양이 출신 애기씨의 귀여워도 너~무 귀여운 어린시절 풉니다,https://www.youtube.com/watch?v=ODVMlz_tvXw&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=26&pp=iAQB
sub) 태어나서 처음 강아지를 본 수의사네 고양이들의 반응은? 🐶vs🐱,https://www.youtube.com/watch?v=2lUSNmlISQg&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=27&pp=iAQB
미야옹철네에 옆집 큰 고양이가 놀러왔어요!,https://www.youtube.com/watch?v=uVAca7g13Uw&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=28&pp=iAQB
3일만에 엄마 만난 고양이의 반응❤️ (귀여움 주의),https://www.youtube.com/watch?v=YQhrieKaF8Y&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=29&pp=iAQB
수의사 미야옹철네 고양이 사모님 애기씨 큐앤에이라옹~! tmi 대방출 한다냥😻,https://www.youtube.com/watch?v=W0rAZmGKXGw&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=30&pp=iAQB
고양이와 외출을 했습니다,https://www.youtube.com/watch?v=ksUJdva_PIE&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=31&pp=iAQB
새우 중의 새우🦐 킹블랙타이거 먹고 고양이가 난리났어요!,https://www.youtube.com/watch?v=5fpuEnkNHWE&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=32&pp=iAQB
난생 처음 꽃게🦀를 본 고양이의 반응,https://www.youtube.com/watch?v=t2SzurOdD8w&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=33&pp=iAQB
하루를 만드는 습관🌤️갓생사는 고양이의 모닝루틴😼,https://www.youtube.com/watch?v=iNVTu-d0d3w&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=34&pp=iAQB
고양이에게 메추리알을 주면 생기는 일(쿠키있음🍪),https://www.youtube.com/watch?v=7sQMFZ2mEN8&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=35&pp=iAQB
"150마리 고양이 “진짜” 골골송 모음🎧 (고양이를 위한 진정, 힐링, 수면 음악)",https://www.youtube.com/watch?v=SeVUpv9Tg9g&list=PLhLLGKcG94RNbYYx5sgH38PaSkj1XHd2r&index=36&pp=iAQB
