제목,링크
[#유퀴즈온더블럭] 🐶강아지 vs 고양이🐱 누가 더 귀여운가! 수의사 설채현&나응식 자기님의 끝나지 않는 논쟁🤣 #설채현 #나응식,https://www.youtube.com/watch?v=oYnFTuHcj-0&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=1&pp=iAQB
고양이와 우리 사이엔 오해가 있다 | 나응식 그레이스 고양이병원 대표 원장 | #반려동물 #고양이 #집사 #경기도 | 세바시 1849회,https://www.youtube.com/watch?v=hXy2YNqr5cg&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=2&pp=iAQB
“새벽에 문 열어달라고 울더라고요” 만삭의 몸으로 집에 들어오자마자 출산한 길고양이│새벽부터 강제로 5마리를 키우게 된 집사│고양이를 부탁해│알고e즘,https://www.youtube.com/watch?v=TIRxVDFBsUk&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=3&pp=iAQB
할머니가 늘 걱정하시는 것은 고양이의 건강,https://www.youtube.com/watch?v=3T4gP4XUcPw&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=4&pp=iAQB
한국의 고양이섬 욕지도에서의 하루,https://www.youtube.com/watch?v=PZP9YFK2G-o&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=5&pp=iAQB
"""매일 나가자고 보호자를 괴롭히는 산책냥이"" 호기심 많은 고양이의 세상구경, 고양이 산책 위험하지 않을까요? │고양이를 부탁해│알고e즘",https://www.youtube.com/watch?v=3CZm-q5H1I0&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=6&pp=iAQB
"꼬리 꺾인 고양이의 집사가 되어준 할머니, 할아버지! 그러나 연로하신 탓에 병원 한 번 데려가 보지 못했다는데.. │고양이를 부탁해│알고e즘",https://www.youtube.com/watch?v=XuQOB1vcnsc&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=7&pp=iAQB
집사라면 모두 이렇게 지내는 것 아닙니까? 강아지나 고양이는 침대에서... 나는 바닥에서...😅,https://www.youtube.com/watch?v=u3lYzRQmIuU&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=8&pp=iAQB
아빠가 안 보이면 폭.풍.울.음. 터뜨리는 연탄이! 심지어 동생 까망이를 향한 무차별 공격까지 하는데…┃고양이를 부탁해┃알고e즘,https://www.youtube.com/watch?v=XgaLl2oTIaw&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=9&pp=iAQB
나응식 수의사 | '야옹'은 간택의 신호?! 길고양이 함부로 냥줍 하지 말아야 하는 이유 [어쩌다어른D],https://www.youtube.com/watch?v=HOR-jy2PVK4&list=PL2PEbeRP1kQimHvDyGqE8riAuUJbkvG2x&index=10&pp=iAQB
