제목,링크
고양이도 쌍둥이가 있을까?,https://www.youtube.com/watch?v=6KPd2Gq2ktI&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=1&pp=iAQB
꼬리가 없는 고양이가 있다고 ?? feat.맹크스 증후군,https://www.youtube.com/watch?v=UyBgNkOcQ1A&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=2&pp=iAQB
세상에서 가장 작은 고양이 토이밥 feat.샴 아님,https://www.youtube.com/watch?v=EseZYIpWq-U&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=3&pp=iAQB
먼치킨이 유독 믹스가 많은 이유,https://www.youtube.com/watch?v=14ABndoNcrc&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=4&pp=iAQB
우리가 몰랐던 다양한 고양이 체형의 비밀 !! feat. 냥신은 그냥 거대함,https://www.youtube.com/watch?v=ajlMac1qOgM&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=5&pp=iAQB
세상에서 가장 작은 고양이 싱가푸라,https://www.youtube.com/watch?v=kcmj2ZiHt44&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=6&pp=iAQB
삼색 고양이는 무조건 암컷 ? feat.마네키 네코,https://www.youtube.com/watch?v=pTf_8meAC_E&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=7&pp=iAQB
고양이 털 무늬만으로 출생지를 안다고요 ? Feat.냥신은 서울,https://www.youtube.com/watch?v=oB-umcTgSiU&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=8&pp=iAQB
과연 내 천생연분 고양이는 누굴까? feat. 냥신은 아메숏 안나옴 🤦,https://www.youtube.com/watch?v=i5155AsUoAI&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=9&pp=iAQB
반전에 반전 매력을 지닌 고양이 스핑크스 feat. 출생의 비밀,https://www.youtube.com/watch?v=Y0xyo0lqMcY&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=10&pp=iAQB
바이킹 하면 떠오르는 거대 고양이 노르웨이 숲,https://www.youtube.com/watch?v=hd61x_C_tS0&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=11&pp=iAQB
태국의 대표 고양이 샴,https://www.youtube.com/watch?v=g31hu49QQ_I&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=12&pp=iAQB
털이 곱슬곱슬한 고양이? 고양이 계의 푸들 셀커크렉스!,https://www.youtube.com/watch?v=7s_bZtGJSi4&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=13&pp=iAQB
[ENG SUB] 고양이 이름 인기순위 TOP10,https://www.youtube.com/watch?v=ug_6aBZD-Xs&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=14&pp=iAQB
[ENG SUB] 머리부터 발끝까지 동글동글한 고양이! 브리티시 숏헤어의 비밀,https://www.youtube.com/watch?v=4FpCTYdqAOU&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=15&pp=iAQB
"인형 같은 꽃미모 고양이, 랙돌에 숨겨진 비밀?! (feat. 눕는 게 제일 좋아)",https://www.youtube.com/watch?v=qXRQeyhrfzA&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=16&pp=iAQB
[ENG SUB] 충격주의! 내 고양이가 러시안 블루가 아니라고??,https://www.youtube.com/watch?v=NvS1Ue8vlgA&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=17&pp=iAQB
[ENG SUB] 신비한묘생사전- 고양이 계의 슈가맨 러시안 블루,https://www.youtube.com/watch?v=zgWusnuQtvE&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=18&pp=iAQB
[ENG SUB] [신비한묘생사전]드디어 왔다! 아메리칸 숏헤어,https://www.youtube.com/watch?v=9H-yOYw-Jzw&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=19&pp=iAQB
"[ENG SUB] [신비한묘생사전] 영웅의 고양이, 페르시안!",https://www.youtube.com/watch?v=e1FztQFveRE&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=20&pp=iAQB
[ENG SUB] 왕과 겸상하는 고양이 코리안 숏헤어,https://www.youtube.com/watch?v=Bym4Give0fE&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=21&pp=iAQB
[신비한묘생사전]심쿵 폭격기 먼치킨을 알아보자!,https://www.youtube.com/watch?v=LU6qtQerolQ&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=22&pp=iAQB
[ENG SUB] [신비한묘생사전] 장화 신은 고양이 스코티시 폴드,https://www.youtube.com/watch?v=-ZDR23rTkeU&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=23&pp=iAQB
[ENG SUB] [신비한묘생사전]고양이 계의 에너지 넘버 원! '뱅갈',https://www.youtube.com/watch?v=O0hBFt2QWbE&list=PL2PEbeRP1kQi82mtoeb3uwDaJMJbtDumJ&index=24&pp=iAQB
