제목,링크
"엄정화님, 도대체 어떻게 키우신 건가요. 강형욱이 사랑에 빠진 진돗개 등장[강형욱의개스트쇼]EP.28",https://www.youtube.com/watch?v=A1L9uEZ0xNE&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=1&pp=iAQB
연예인 대표 자매 트와이스 정연&공승연. 애들 자랑하러 와서 싸우다 가네요...[강형욱의개스트쇼] EP.27,https://www.youtube.com/watch?v=rm3EodlSdHw&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=2&pp=iAQB
외모가 자랑인 손나은네 강아지 최초공개! [강형욱의개스트쇼] EP.26,https://www.youtube.com/watch?v=c1oUMGzO3O0&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=3&pp=iAQB
강형욱이 동업 제안한 최초의 (여자)아이들 슈화 [강형욱의개스트쇼] EP.25,https://www.youtube.com/watch?v=PTWyWh1Oeow&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=4&pp=iAQB
강형욱보다 더 강아지 같은 이현우님의 등장! [강형욱의개스트쇼] EP.24,https://www.youtube.com/watch?v=UWDNM0mwlVo&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=5&pp=iAQB
왜 이제 오셨나요. 강형욱이 놓친 안타까운 천재견 등장 [강형욱의개스트쇼] EP.23,https://www.youtube.com/watch?v=C6Trr20EVYM&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=6&pp=iAQB
태연 절친 김제로 등장. 알고보니 필라테스 천재견 [강형욱의개스트쇼] EP.22,https://www.youtube.com/watch?v=ernXYWmI-9U&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=7&pp=iAQB
최초로 자랑 다 인증하고 간 천재견 등장! 이주영님 키우는 비결 좀 알려주세요 [강형욱의개스트쇼] EP.21,https://www.youtube.com/watch?v=M3xUmikQMA8&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=8&pp=iAQB
역대 최다 개스트 등장! 근데 전종서 얼굴만 보임 [강형욱의개스트쇼] EP.20,https://www.youtube.com/watch?v=m6L7W2XYY68&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=9&pp=iAQB
자랑하러 와서 애들 싸움만 말리다 간 샤이니 키 [강형욱의개스트쇼] EP.19,https://www.youtube.com/watch?v=EvBPqcbRQQc&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=10&pp=iAQB
용키야 말 좀 전해줄래? 솔라 언니 자랑 좀 그만하라고 [강형욱의개스트쇼] EP.18,https://www.youtube.com/watch?v=jkV5-cUnoj8&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=11&pp=iAQB
김희선씨 그만 울고 가세요. 강아지 자랑하다 뿌듯해서 오열한 코리 엄마 희선씨 [강형욱의개스트쇼] EP.17,https://www.youtube.com/watch?v=UknHKXuM1Zw&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=12&pp=iAQB
결혼식 안 왔다고 직접 찾아 온 이상화 강남 부부  [강형욱의개스트쇼] EP.16,https://www.youtube.com/watch?v=5DkD2-hyCAU&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=13&pp=iAQB
홍종현씨. 강아지는 두고 가세요. 덩치는 산만한데 애교 덩어리인 진도스키 [강형욱의개스트쇼] EP.15,https://www.youtube.com/watch?v=zoHrtAXPzAk&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=14&pp=iAQB
박수 쳐줘야만 밥 먹는 표예진네 강아지 꼼이 [강형욱의개스트쇼] EP.14,https://www.youtube.com/watch?v=GjID5zi2YF8&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=15&pp=iAQB
강형욱한테 자랑 다 뺏기고 칸으로 간 블랙핑크 제니. [강형욱의개스트쇼] EP.13,https://www.youtube.com/watch?v=qglffq44cbc&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=16&pp=iAQB
강형욱도 훈련 실패한 세븐틴 에스쿱스네 강아지 고구마 a.k.a꾸마 [강형욱의개스트쇼] EP.12,https://www.youtube.com/watch?v=oP7vw4MEr-I&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=17&pp=iAQB
강형욱한테 가스라이팅 당하는 비글 구리 아빠 비투비 이창섭 [강형욱의개스트쇼] EP.11,https://www.youtube.com/watch?v=QWWvoX0rz2M&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=18&pp=iAQB
소녀시대 유리네집 서열 1위 등판. 근데 강형욱한테 참교육 당하고 감. [강형욱의개스트쇼] EP.10,https://www.youtube.com/watch?v=H95AYaX9k9g&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=19&pp=iAQB
그 피지컬로 강아지 옷 입히기 놀이하는 윤성빈. 좀 많이 귀여운 남자였네... [강형욱의개스트쇼] EP.9,https://www.youtube.com/watch?v=NAUNouW20gg&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=20&pp=iAQB
나연희두네 강아지 다 같이 나옴. 누가 더 예쁜지 대국민 투표 바랍니다. [강형욱의개스트쇼] EP.8,https://www.youtube.com/watch?v=Pt5XCKeI0Kg&list=PLVh3TM0B0WtmFVpXMnG_OEESUbblzGsdW&index=21&pp=iAQB
