제목,링크
(리트리버 아님)1박2일 마스코트였던 '그레이트 피레니즈' 두둥등장 | 견종백과 그레이트 피레니즈편,https://www.youtube.com/watch?v=Lhi7tJzRKXk&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=1&pp=iAQB
누구나 마트에서 한 번쯤 봤을 '그 강아지' | 견종백과 웨스트 하이랜드 화이트 테리어편,https://www.youtube.com/watch?v=gLcYWT4Z0gI&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=2&pp=iAQB
영상 내내 공만 찾음 | 견종백과 베들링턴테리어편,https://www.youtube.com/watch?v=_5OEV4P1_HU&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=3&pp=iAQB
스피츠가 예민보스인 이유 | 견종백과 스피츠편,https://www.youtube.com/watch?v=6vvszdv5pDY&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=4&pp=iAQB
"""악마야 물러가라"" 조기교육 필수인 도베르만 | 견종백과 도베르만 핀셔편",https://www.youtube.com/watch?v=eJvcoohXDuY&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=5&pp=iAQB
메롱하면 혓바닥이 보라색인 강아지ㅣ견종백과 차우차우 편,https://www.youtube.com/watch?v=FCrjawLVIWo&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=6&pp=iAQB
강형욱에게 트라우마가 된 견종 | 견종백과 와이어 폭스테리어편,https://www.youtube.com/watch?v=L5yvqZfpR64&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=7&pp=iAQB
귀여워서 쌍코피 터집니다 (*편집자 3번 터짐) | 견종백과 버니즈 마운틴 독편,https://www.youtube.com/watch?v=x7EmWZsKGVg&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=8&pp=iAQB
강형욱도 키우기 힘들다는 견종(일반인 키우기 금지) | 견종백과 말리노이즈편,https://www.youtube.com/watch?v=8owAHlSFqvA&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=9&pp=iAQB
24시간 돌아갑니다. 경고했습니다. | 견종백과 코카스파니엘편,https://www.youtube.com/watch?v=_6L4ZVPUJhs&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=10&pp=iAQB
털 빠짐도 한도초과! 사모예드 우유가 왔어요 | 견종백과 사모예드편,https://www.youtube.com/watch?v=E8FPnTQxFMo&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=11&pp=iAQB
역대 최고 몸무게와 최고 난이도 등극한 어마어마한 초대형견ㅣ견종백과 세인트 버나드 편,https://www.youtube.com/watch?v=XqLPk37ZtQs&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=12&pp=iAQB
참기름 강아지 | 견종백과 닥스훈트편,https://www.youtube.com/watch?v=NBT2QrulQp8&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=13&pp=iAQB
근데 강형욱앞에선 얌전함 | 견종백과 이탈리안 그레이하운드편,https://www.youtube.com/watch?v=Iw0ElufMEsU&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=14&pp=iAQB
보호자가 불러도 안 옴ㅣ견종백과 시베리안 허스키편,https://www.youtube.com/watch?v=9xmqNrpO8bE&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=15&pp=iAQB
이라면 보호자가 악마일 가능성 58000% | 견종백과 슈나우저편,https://www.youtube.com/watch?v=ghqEL4cP5yc&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=16&pp=iAQB
한국에서 보기 진짜 어려운 견종ㅣ견종백과 헝가리안 풀리편,https://www.youtube.com/watch?v=4TzC6xWzWnw&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=17&pp=iAQB
간이고 쓸개고 다 내줌ㅣ견종백과 골든 리트리버편,https://www.youtube.com/watch?v=x-PyGv9_CJ4&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=18&pp=iAQB
예쁘면 다야? 응. 셸티 예뻐서 다야 | 견종백과 셰틀랜드 쉽독편,https://www.youtube.com/watch?v=Aj4PuxjIpvU&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=19&pp=iAQB
10점 만점에 13점. 역대 최고 난이도ㅣ견종백과 와이마라너편,https://www.youtube.com/watch?v=TipuWIrP934&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=20&pp=iAQB
세요 친구도 없으니까..  | 견종백과 프렌치불독편,https://www.youtube.com/watch?v=--RH6FC_uXs&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=21&pp=iAQB
생긴 건 무서운데 성격은 리트리버 뺨치는 겉바속촉 포인터 | 견종백과 포인터편,https://www.youtube.com/watch?v=OM1QaXiWlDk&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=22&pp=iAQB
파피용은 외모부터 성격까지 다 우아해 | 견종백과 파피용편,https://www.youtube.com/watch?v=3AY3xj_mpu4&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=23&pp=iAQB
영상 내내 끌려 다님 | 견종백과 올드 잉글리쉬 쉽독편,https://www.youtube.com/watch?v=4AGmY-lOfYI&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=24&pp=iAQB
영상 내내 먹기만 함 | 견종백과 래브라도 리트리버편,https://www.youtube.com/watch?v=FABOw10lRbg&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=25&pp=iAQB
육구시타리아의 반전 매력. 내 안에 도베르만 있다.ㅣ견종백과 요크셔테리어편,https://www.youtube.com/watch?v=mgRcG6Z5kBY&list=PLVh3TM0B0WtksY4ZQVNdD0aTG1Qm1mQNM&index=26&pp=iAQB
