제목,링크
얘는 누구 개인가요? 강형욱 훈련사의 초보 보호자 훈련기 | 골목댕댕 홍대편 2부,https://www.youtube.com/watch?v=kRsYuNPOzos&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=1&pp=iAQB
진돗개가 찌질 하다고? 방송 최초 추가 녹화 요청한 강형욱 훈련사│ 골목댕댕 홍대편 1부,https://www.youtube.com/watch?v=xl6E2beOjxE&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=2&pp=iAQB
"""너 미쳤어?"" 강형욱 극대노한 이유. 3개월 카네코르소와 대도시 노부부 가족 | 강형욱의 멍스쿨",https://www.youtube.com/watch?v=vftVEbbgHZE&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=3&pp=iAQB
"강형욱이 탐낸 천재견, 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨",https://www.youtube.com/watch?v=uXLh6C6iccM&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=4&pp=iAQB
"완전 기초부터 배우는 노즈워크 후각활동 놀이방법(강아지 조절력과 자제력 키우기, 아이도 함께 배우는 교육)",https://www.youtube.com/watch?v=JC_PMiAtPMo&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=5&pp=iAQB
산책 처음하거나 도시에 사는 어린 강아지를 위한 필수 교육 팁 (사모예드 구름)│강형욱의 멍스쿨 초보 보호자,https://www.youtube.com/watch?v=3ZVNm7iEGt4&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=6&pp=iAQB
돈 터치 미!! 귀여워도 나를 만질 수 없어 -.- (믹스견 바바)│강형욱의 멍스쿨 초보 보호자,https://www.youtube.com/watch?v=-j32hc_pdi0&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=7&pp=iAQB
"기다려 교육 단골 실수, 이렇게 하면 안 돼요ㅠㅠ(사모예드 구름)│강형욱의 멍스쿨 초보 보호자",https://www.youtube.com/watch?v=G4gcMsGgqII&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=8&pp=iAQB
"벌써 자기 방 있는 강아지, 내가 쉬는 내 켄넬이야!! (믹스견 바바)│강형욱의 멍스쿨 초보 보호자",https://www.youtube.com/watch?v=OidS2c4siy0&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=9&pp=iAQB
친척 집에서도 편히 쉬는 방법 + 명절에 개를 버린다고? (추석&설날 명절 고민),https://www.youtube.com/watch?v=sfwCZtPJpXM&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=10&pp=iAQB
[보듬 코담요] 노즈워크 후각 활동 왜 필요할까?,https://www.youtube.com/watch?v=nMjzbCtdHQU&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=11&pp=iAQB
"강아지 자동차 스트레스 줄이는 방법, 폭스바겐 광고주님이 싫어 할 영상... (추석&설날 명절 고민)",https://www.youtube.com/watch?v=g59RDsXxI0g&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=12&pp=iAQB
"명절 음식 주는 친척 대처법, 강아지가 먹어도 될까? (추석&설날 고민)",https://www.youtube.com/watch?v=Q5dCqEpS5sM&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=13&pp=iAQB
"코로나19에 대처하는 보호자와 반려견(코로나산책,실내놀이,임시보호소)",https://www.youtube.com/watch?v=vT6MOA6u87Y&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=14&pp=iAQB
얼음 땡 놀이로 발 깨무는 강아지 탈출하기!! (웰시 코기 토리)│강형욱의 멍스쿨 초보 보호자,https://www.youtube.com/watch?v=-GLwsmGkEFw&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=15&pp=iAQB
방석 하나로 어디서든 어렵지 않게 예절교육! 3개월 강아지 꼬리 코기 첫 공부 (웰시 코기 토리)│강형욱의 멍스쿨 초보 보호자,https://www.youtube.com/watch?v=P6x2A5xgsO8&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=16&pp=iAQB
강아지가 깨물 때는 정색-_-해라!!! (웰시 코기 토리)│강형욱의 멍스쿨 초보 보호자,https://www.youtube.com/watch?v=JUed75Yho1U&list=PLVh3TM0B0WtntFLpB0oH4I8zAxbO-2xLK&index=17&pp=iAQB
