제목,링크
"'손가락 물렸다면 절단 사고' 나는 너만 있으면 돼... 강형욱 훈련사, 내 강아지의 공격성",https://www.youtube.com/watch?v=o_AMhu4Mprk&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=1&pp=iAQB
일촉즉발! 정신 놓고 짖는 화이트 슈나우저 하나｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=Mfr7aP5DuFg&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=2&pp=iAQB
"타고난 공격성의 반전, 믹스견 호두 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=FaOKxP5JmX8&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=3&pp=iAQB
"타고난 공격성의 반전, 믹스견 호두 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=m9ycHfIsjQ0&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=4&pp=iAQB
보호자는 내가 지배한다! 우리 집 독재자 푸들 콩이 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=EdpDcQ-iOw0&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=5&pp=iAQB
보호자는 내가 지배한다! 우리 집 독재자 푸들 콩이 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=ASxEvTe5Dss&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=6&pp=iAQB
가족만 공격하는 두 얼굴의 야누스 진돗개 칠복 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=nydkR3CoRnU&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=7&pp=iAQB
가족만 공격하는 두 얼굴의 야누스 진돗개 칠복 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=Tdr8hDH2vv8&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=8&pp=iAQB
훈련사도 포기한 강아지 샤페이 또또 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=UULaol26dIs&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=9&pp=iAQB
훈련사도 포기한 강아지 샤페이 또또 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=bqizaW-YXfM&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=10&pp=iAQB
"총체적 난국, 프렌치 불독 레오 2부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=qkubn3xtAe4&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=11&pp=iAQB
"총체적 난국, 프렌치 불독 레오 1부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=eUH67aU8L6E&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=12&pp=iAQB
거스르면 문다! 맹수로 돌변하는 진돗개 마루 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=BHjc42cfZ2w&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=13&pp=iAQB
거스르면 문다! 맹수로 돌변하는 진돗개 마루 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=4wu46OaUH28&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=14&pp=iAQB
"입을 물어뜯긴 보호자, 품 안에 강아지 말티푸 하루 2부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=MZmBNwI0J-Q&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=15&pp=iAQB
"입을 물어뜯긴 보호자, 품 안에 강아지 말티푸 하루 1부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=fzCI03hrXls&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=16&pp=iAQB
학대의 트라우마일까? 유기견 웰시 코기 이낙이 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=sECH6_LBl2o&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=17&pp=iAQB
학대의 트라우마일까? 유기견 웰시 코기 이낙이 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=AYdlkAPqq9s&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=18&pp=iAQB
[Eng sub] 함께 사는 개와 고양이를 공격하는 불테리어 구락이 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=TtvN_-vKW4c&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=19&pp=iAQB
[Eng sub] 함께 사는 개와 고양이를 공격하는 불 테리어 구락이 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=vtcUIWI1gmk&list=PLVh3TM0B0WtnKODt-EissnxPlHAjKWJQQ&index=20&pp=iAQB
