제목,링크
"2세 계획, 반려견과 함께 한다면? 강형욱에게 합격 받은 보더콜리 이월이 | 골목댕댕 홍대편 4부",https://www.youtube.com/watch?v=mqKRTBRV8o0&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=1&pp=iAQB
핵인싸와 핵아싸의 동거? 홍대 피플의 패션이 그저 신기한 강아지 강씨 | 골목댕댕 홍대편 3부,https://www.youtube.com/watch?v=OdzpDXH-7rs&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=2&pp=iAQB
얘는 누구 개인가요? 강형욱 훈련사의 초보 보호자 훈련기 | 골목댕댕 홍대편 2부,https://www.youtube.com/watch?v=kRsYuNPOzos&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=3&pp=iAQB
진돗개가 찌질 하다고? 방송 최초 추가 녹화 요청한 강형욱 훈련사│ 골목댕댕 홍대편 1부,https://www.youtube.com/watch?v=xl6E2beOjxE&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=4&pp=iAQB
사료 앞에서 절하는 강아지 (유교견 그랜절)｜강플릭스 KANGFLIX,https://www.youtube.com/watch?v=IQT2J5MAQtI&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=5&pp=iAQB
바람의 파이터 강아지.. 와이라노.. Whyrano...｜강플릭스 KANGFLIX,https://www.youtube.com/watch?v=ZdJfxhR8rLc&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=6&pp=iAQB
몹시 기뻐하는 표정 맞음｜강플릭스 KANGFLIX,https://www.youtube.com/watch?v=swLqIgebBR0&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=7&pp=iAQB
"동물의 왕국 덕후 강아지, 자연으로 가고 싶니?｜TV 텔레비전 보는 개｜강플릭스 KANGFLIX",https://www.youtube.com/watch?v=wktjDzput9s&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=8&pp=iAQB
"왜 저러는 걸까...｜배 보이고 자는 강아지, 이유가 있나요? ｜강플릭스 KANGFLIX",https://www.youtube.com/watch?v=kJ3x72--bpA&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=9&pp=iAQB
깡팸이 된 깡아지｜기어다니는 강아지 왜 이러나요? ｜강플릭스 KANGFLIX,https://www.youtube.com/watch?v=vnmX4-HTNLw&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=10&pp=iAQB
"수영 몸치 탈출 작전, 오늘부터 물개! '강아지 수영장 오픈'",https://www.youtube.com/watch?v=3s2mpfqyrYo&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=11&pp=iAQB
빈지노는 왜 안락사 위기의 유기견 꼬미를 입양했을까?｜2019 댕댕이페스티벌,https://www.youtube.com/watch?v=s3G-vua0EnM&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=12&pp=iAQB
댕버랜드에 나타난 춤 추는 강아지들｜2019 댕댕이페스티벌 독댄스,https://www.youtube.com/watch?v=npG6kn5QOW4&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=13&pp=iAQB
극한직업? 꿀알바? 개 인형탈을 쓴 강형욱｜2019 댕댕이페스티벌,https://www.youtube.com/watch?v=jqGk9hDUvMw&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=14&pp=iAQB
꿈과 희망의 나라 댕버랜드! 2019 댕댕이페스티벌,https://www.youtube.com/watch?v=A5UCp5b5HJs&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=15&pp=iAQB
[개는 훌륭하다] 천방지축 두 제자의 반려견 훈련사 도전기!! ㅣ KBS방송,https://www.youtube.com/watch?v=_XCjMo6Kzbw&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=16&pp=iAQB
수백 마리의 강아지가 동시에 냅다 뛰는 진풍경🏃‍♀ 2019 댕댕런 in 경포,https://www.youtube.com/watch?v=MuLg_Y9h6WM&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=17&pp=iAQB
소라게가 된 형욱을 구하라! (저 세상 PPL)｜LG 퓨리케어 360도 공기청정기 펫 리뷰,https://www.youtube.com/watch?v=MrhlmHkZhJU&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=18&pp=iAQB
2019 댕댕탐구백서 댕퍼런스 현장 스케치,https://www.youtube.com/watch?v=BxfnGd81p_g&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=19&pp=iAQB
수원이의 임시보호를 종료합니다,https://www.youtube.com/watch?v=Qltuv6xaZM0&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=20&pp=iAQB
"[인터뷰] 강형욱, '폭스테리어 안락사' 주장한 2가지 이유 / SBS / 주영진의 뉴스브리핑",https://www.youtube.com/watch?v=ELNNxj8u94Y&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=21&pp=iAQB
강형욱 훈련사의 ‘소소한 Q&A 2부’ | 토크콘서트,https://www.youtube.com/watch?v=BRtCI236oy8&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=22&pp=iAQB
강형욱 훈련사의 ‘소소한 Q&A 1부’ | 토크콘서트,https://www.youtube.com/watch?v=KiQ_dtdDGMU&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=23&pp=iAQB
강형욱 훈련사의 '토크 콘서트' 현장 스케치,https://www.youtube.com/watch?v=GXRZZlK8b2E&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=24&pp=iAQB
"한여름 밤 강릉에서 펼쳐지는 강아지 마라톤, 썸머댕댕런 in 경포",https://www.youtube.com/watch?v=k52jtDkq3gc&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=25&pp=iAQB
"강아지 강씨, 쇼핑몰팀 고객 상담을?｜근로자의 날 이벤트",https://www.youtube.com/watch?v=YQ1T5gdnMW8&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=26&pp=iAQB
강형욱 훈련사님과 강아지가 함께 달리는 개라톤 2019 댕댕런 in 상암!,https://www.youtube.com/watch?v=UXDls9YrwlY&list=PLVh3TM0B0WtkC9rk7IqG6hILuHdxAHXKn&index=27&pp=iAQB
