제목,링크
얘를 어떻게 교육합니까? 발 닳습니다 [퍼피교육],https://www.youtube.com/watch?v=3pp-RUaUhvY&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=1&pp=iAQB
귀여우면 다야? 말 안 듣는 솜뭉치 훈련한 강형욱 [퍼피교육],https://www.youtube.com/watch?v=LvrhaYhEb4c&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=2&pp=iAQB
이 강아지는 이제 제 겁니다. 강형욱이 반한 예쁜 강아지 [퍼피교육],https://www.youtube.com/watch?v=hzcD1T_-XK4&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=3&pp=iAQB
강형욱 만나고 고장난 못생긴 노을이 [주니어교육],https://www.youtube.com/watch?v=fduEwKC0OKw&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=4&pp=iAQB
이름이 '짜장 곱백'이 뭐야ㅠ 넘모 귀엽잖아 [퍼피교육],https://www.youtube.com/watch?v=X-e2FOhL13Y&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=5&pp=iAQB
왕크니까 왕귀여운 초대형 애기 강아지 교육하기 [퍼피교육],https://www.youtube.com/watch?v=ZLcAtZIkbBw&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=6&pp=iAQB
“이미 앉았는데요.” 다리가 짧아서 슬픈 애기 닥스훈트[퍼피교육],https://www.youtube.com/watch?v=YrUjuH8zqsY&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=7&pp=iAQB
"""오늘 안 만났으면 1년 뒤에 개훌륭에서 봤을 거 같아요"" 문제견 조기 발견한 강형욱 [퍼피교육]",https://www.youtube.com/watch?v=3In3LgSiCcM&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=8&pp=iAQB
애기 리트리버가 물 먹는 법 [퍼피 교육],https://www.youtube.com/watch?v=e4zwTPFkrFw&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=9&pp=iAQB
비 오는 날 마중 나온 목화 강아지 [퍼피교육],https://www.youtube.com/watch?v=J-p955Needw&list=PLVh3TM0B0Wtl67fiuSL5xNEc0uZYvEB18&index=10&pp=iAQB
