제목,링크
산책 후 최적의 발닦기 방법이 있다고요? 🐾  l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=mXliGLg6On8&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=1&pp=iAQB
강아지와 같이 자면 분리불안 생긴다고요? 💤 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=Ez_V8AonF74&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=2&pp=iAQB
"강아지 수면시간, 이렇게 길어도 괜찮다고요? 😴 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=ma9QEC33ljQ&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=3&pp=iAQB
강아지 산책줄 고르는 방법이 있다고요? 🐕‍🦺 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=6ycKCWfNKLI&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=4&pp=iAQB
강아지의 가장 이상적인 간식양이 있다고요? 🥮 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=F8k2PlA7VFU&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=5&pp=iAQB
강아지한테 '미안해🙏🏻'라고 말하면 알아들을까요? 🍎 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=Q2EMiiZOQCw&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=6&pp=iAQB
강아지 발사탕 이렇게 고쳐주세요! 🍭 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=wnJnTCURglE&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=7&pp=iAQB
강아지 초콜릿 먹어도 안 위험하다고요? 🍫  l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=Ke8ngbNd1u4&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=8&pp=iAQB
장마철 강아지 산책은 이렇게 하세요. ☔️ l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=k6tl1UgWcWw&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=9&pp=iAQB
분리불안 강아지 무시가 답일까요? 🤨 | 짧은 Q&A |  설채현 행동학 수의사,https://www.youtube.com/watch?v=qS2YnAY4vVA&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=10&pp=iAQB
💥개털 논란 종결💥 강아지랑 아기 정말 같이 키워도 될까요? | 짧은 Q&A | 설채현 행동학 수의사,https://www.youtube.com/watch?v=EfijoRNwKt0&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=11&pp=iAQB
강아지 정수기 물 급여가 과연 최선일까요? 🤔🚰 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=nNGGb9I5V0w&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=12&pp=iAQB
"겨울철 산책, 안 해도 된다고요? ❄️ l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=v_zd_DtceVY&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=13&pp=iAQB
"강아지, 한 집이 아닌 여러 집 살림 상관없을까요? 🏡 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=r-PwoZYn5UM&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=14&pp=iAQB
"강아지한테 사랑받는 거, 그거 어떻게 하는건데 🥲 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=RZzorW7VpIg&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=15&pp=iAQB
강아지 다이어트 이렇게 하셔야 해요! 🏋🏻 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=Jxbii-_GLzU&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=16&pp=iAQB
"풀 먹는 강아지, 다 이유가 있어요! 🌱 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=56DGjWwRU2Q&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=17&pp=iAQB
강아지 에어컨 하루종일 틀어줘야 한다고요? 🌬️ l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=QZMchPdjYN4&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=18&pp=iAQB
강아지의 중2병 증상 ⚠️ l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=BOQD_3vg4KA&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=19&pp=iAQB
"먹어도 먹어도 배고픈 강아지, 이유가 있어요! 🤤 l 1문 1답 Q&A l 설채현 수의사",https://www.youtube.com/watch?v=Fn91Bo31OXI&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=20&pp=iAQB
"식탐 제로 강아지, 이렇게 하면 됩니다! 🐷l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=zMsf6-ZwWX4&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=21&pp=iAQB
"강아지가 땅 파는 행동, 삐빅 - 정상입니다 ✅ l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=mKY9ZGdrxNc&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=22&pp=iAQB
강아지도 좋아하는 TV 프로가 있을까요? l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=ca-XDHOWjLs&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=23&pp=iAQB
강아지가 바람을 즐기는 걸까요? 💨 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=sGeUCn78LEQ&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=24&pp=iAQB
"강아지의 이별, 아이들은 이렇게 행동해요 💫 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=e02561CJ72g&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=25&pp=iAQB
"강아지 삑삑이 장난감, 왜 못 잃는걸까요? 🧸 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=BbpU1w0XmUo&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=26&pp=iAQB
우리 집 반려견의 행복한 노후생활을 위한 꿀팁 알려주세요! l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=XB65wODgm2w&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=27&pp=iAQB
동물병원 가기 힘든 견종 과연 진짜 있을까요? 😤 l 1문 1답 Q&A  l 설채현 행동학 수의사,https://www.youtube.com/watch?v=BW07F_MI3UI&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=28&pp=iAQB
강아지가 귀여운 것도 이유가 있다고요? 😲 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=IF_O4mG2BuI&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=29&pp=iAQB
수의사의 반려용품 선택법이 궁금하시다고요? 👀 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=wHe2e0oZtio&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=30&pp=iAQB
"임시 보호 강아지, 정말 임시보호자를 기억할까요? 💭 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=sStn0_optr8&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=31&pp=iAQB
소심한 강아지의 자신감 쭉쭉 올려주는 방법! 💪🏻 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=UZZJ6NO2cMs&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=32&pp=iAQB
"강아지 눈물 자국, 알러지 때문이 아니라고요? 😲 l 1문 1답 Q&A  l 설채현 행동학 수의사",https://www.youtube.com/watch?v=gIaqGpONUC4&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=33&pp=iAQB
"환절기 감기, 강아지도 조심해야 하나요? 🤧🍂 l 1문 1답 Q&A l 설채현 수의사",https://www.youtube.com/watch?v=AyWLWTrS71s&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=34&pp=iAQB
강아지 변비 이러니까 생기는 거예요 💩 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=LX-x8dL8MMg&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=35&pp=iAQB
강아지들의 최애음악이 따로 있다고요? 🎶 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=MPoBqBR124s&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=36&pp=iAQB
유기동물 발견시 대처방법 알려주세요! 🧐 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=cc6D_ITGVig&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=37&pp=iAQB
강아지가 TV 보고 짖는다면 이렇게 하세요!📺 | 짧은 Q&A | 설채현 행동학 수의사,https://www.youtube.com/watch?v=2FjcaVMZ77U&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=38&pp=iAQB
강아지도 진짜 꾀병을 부릴 수 있을까요? 🤕 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=CXdfoAdgv4E&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=39&pp=iAQB
"환절기 질병, 강아지도 위험해요! 😔 l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=BTqq5dOJrU8&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=40&pp=iAQB
반려견도 봄이 힘들 수 있어요 🌸 l 1문 1답 Q&A l 설채현 행동학 수의사,https://www.youtube.com/watch?v=lE0Vzm3iqBk&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=41&pp=iAQB
"강아지와 즐겁고 안전한 휴가, 이것만 알아두세요! 🏖️ l 1문 1답 Q&A l 설채현 행동학 수의사",https://www.youtube.com/watch?v=5Cplw1NsxgQ&list=PLfLVnVofgzHLe-lOTTznslDK9SPBeLZHV&index=42&pp=iAQB
